,Phylum,Class,Order,Family,Genus,Species,modern_longitude,modern_latitude,start_year,end_year,ancient_longitude,ancient_latitude,era
0,Pteridophyta,Filicopsida,O,F,Eboracia,Eboracia lobifolia,102.644,37.934,-201,-174,107.53,46.61,7
1,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera cf.minima,120.817,41.839,-201,-174,128.82,48.75,7
2,Gymnospermae,C,Ginkgoales,F,Ginkgoites,Ginkgoites cf.ferganensis,114.891,30.321,-201,-174,120.52,37.89,7
3,Gymnospermae,C,O,F,Allicospermum,Allicospermum xystum,107.507,31.08,-201,-174,112.47,37.37,7
4,Gymnospermae,Pteridospermopsida,O,F,Amdrupia,Amdrupia kashiensis,75.987,39.47,-201,-174,84.86,47.52,7
5,Gymnospermae,Pteridospermopsida,O,F,Amdrupia,Amdrupia sphenopteroides,106.562,29.288,-201,-174,111.94,35.44,7
6,Gymnospermae,Pteridospermopsida,O,F,Amdrupia,Amdrupia stenodonta,104.666,29.53,-201,-174,109.9,35.34,7
7,Gymnospermae,Pteridospermopsida,O,F,Amdrupiopsis,Amdrupiopsis sphenopteroides,104.666,29.53,-201,-174,109.9,35.34,7
8,Gymnospermae,Pteridospermopsida,O,F,Angustiphyllum,Angustiphyllum yaobuense,116.825,30.736,-201,-174,122.51,38.61,7
9,Pteridophyta,Sphenopsida,Equisetales,F,Annulariopsis,Annulariopsis inopinata,104.966,28.848,-201,-174,110.39,34.72,7
10,Pteridophyta,Sphenopsida,Equisetales,F,Annulariopsis,Annulariopsis logifolia,110.741,30.957,-201,-174,115.93,37.82,7
11,Pteridophyta,Sphenopsida,Equisetales,F,Annulariopsis,Annulariopsis simpsonii,115.781,39.886,-201,-174,122.75,47.38,7
12,Pteridophyta,Sphenopsida,Equisetales,F,Annulariopsis,Annulariopsis xibeiensis,75.988,39.488,-201,-174,84.87,47.53,7
13,Gymnospermae,Cycadopsida,Bennettiales,F,Anomazamites,Anomazamites inconstans,113.109,40.435,-201,-145,117.69,43.79,7
14,Gymnospermae,Cycadopsida,Bennettiales,F,Anomazamites,Anomazamites inconstans,113.849,27.626,-201,-174,120.04,35.07,7
15,Gymnospermae,Cycadopsida,Bennettiales,F,Anomazamites,Anomazamites inconstans,116.194,39.97,-201,-145,120.92,43.26,7
16,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites angulatus,120.384,41.496,-201,-163,127.36,46.34,7
17,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites cf.gracilis,110.761,30.965,-201,-174,115.95,37.83,7
18,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites cf.gracilis,111.782,30.824,-201,-174,117.07,37.86,7
19,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites cf.gracilis,112.722,27.405,-201,-174,118.89,34.67,7
20,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites cf.gracilis,116.102,39.902,-201,-174,123.12,47.37,7
21,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites cf.gracilis,108.831,31.107,-201,-174,113.86,37.63,7
22,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites cf.inconstans,114.822,30.139,-201,-174,120.49,37.7,7
23,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites cf.major,101.297,38.829,-201,-174,106.09,47.59,7
24,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites cf.major,110.761,30.965,-201,-174,115.95,37.83,7
