,Phylum,Class,Order,Family,Genus,Species,modern_longitude,modern_latitude,start_year,end_year,ancient_longitude,ancient_latitude,era
0,Gymnospermae,Coniferopsida,O,Adiantaceae,Adiantopteris,Adiantopteris eleganta,119.598,45.436,-145,-100,121.45,47.29,7
1,Gymnospermae,Coniferopsida,O,Adiantaceae,Adiantopteris,Adiantopteris cf.sewardii,131.146,45.834,-145,-100,133.38,48.44,7
2,Pteridophyta,Filicopsida,O,Ephedraceae,Alloephedra,Alloephedra xingxuei,129.502,42.888,-145,-100,131.48,44.75,7
3,Gymnospermae,Cycadopsida,Bennettiales,F,Androstrobus,Androstrobus nathorsti,124.477,41.902,-145,-100,126.43,43.49,7
4,Gymnospermae,Coniferopsida,O,F,Anomozamites,Anomozamites cf.angulatus,131.117,44.088,-145,-100,133.57,46.7,7
5,Angiospermae,Dicotyledoneae,O,F,Anomozamites,Anomozamites angulatus,119.586,45.429,-145,-100,121.44,47.28,7
6,Angiospermae,Dicotyledoneae,O,F,Anomozamites,Anomozamites arcticus,131.117,44.088,-145,-100,133.57,46.7,7
7,Angiospermae,Monocotyledoneae,O,F,Anomozamites,Anomozamites arcticus,130.29,47.347,-145,-100,132.28,49.89,7
8,Gymnospermae,Cycadopsida,Bennettiales,Araliaceae,Aralia,Aralia mudanjiangensis,129.632,44.552,-145,-100,131.97,47.07,7
9,Angiospermae,C,O,Araliaceae,Araliaephyllum,Araliaephyllum obtusilobum,129.434,42.764,-145,-100,131.42,44.63,7
10,Gymnospermae,Coniferopsida,O,Araucariaceae,Araucarioxylon,Araucarioxylon batuense,120.771,41.471,-145,-100,122.69,42.84,7
11,Gymnospermae,Cycadopsida,Nilssoniales,Araucariaceae,Araucarioxylon,Araucarioxylon japonicum,117.014,36.667,-145,-100,119.36,37.83,7
12,Gymnospermae,Cycadopsida,Nilssoniales,Araucariaceae,Araucarioxylon,Araucarioxylon jimoense,120.442,36.388,-145,-100,122.86,37.76,7
13,Pteridophyta,Filicopsida,O,Araucariaceae,Araucarioxylon,Araucarioxylon xinchangense,120.779,29.401,-145,-100,124.16,32.36,7
14,Gymnospermae,Cycadopsida,Bennettiales,Araucariaceae,Araucarites,Araucarites minutus,86.869,28.396,-145,-100,49.73,-46.29,7
15,Gymnospermae,C,Ginkgoales,F,Archimagnolia,Archimagnolia rostrato,129.434,42.764,-145,-100,131.42,44.63,7
16,Gymnospermae,Cycadopsida,Bennettiales,Pteridaceae,Arctopteris,Arctopteris kolymensis,114.887,40.824,-145,-100,116.79,41.85,7
17,Gymnospermae,Cycadopsida,Bennettiales,Pteridaceae,Arctopteris,Arctopteris latifolius,117.669,49.51,-145,-100,118.82,51.21,7
18,Gymnospermae,Cycadopsida,Bennettiales,Pteridaceae,Arctopteris,Arctopteris latifolius,119.735,49.213,-145,-100,121,51.05,7
19,Gymnospermae,Cycadopsida,Bennettiales,Pteridaceae,Arctopteris,Arctopteris maculatus,131.011,45.336,-145,-100,133.3,47.93,7
20,Pteridophyta,Filicopsida,O,Pteridaceae,Arctopteris,Arctopteris tschumikanensis,112.321,33.538,-145,-100,114.34,33.5,7
21,Pteridophyta,Filicopsida,O,Pteridaceae,Arctopteris,Arctopteris tschumikanensis,126.939,43.512,-145,-100,128.78,45.23,7
22,Pteridophyta,Filicopsida,O,Pteridaceae,Arctopteris,Arctopteris zhengyangensis,131.065,45.359,-145,-100,133.36,47.96,7
23,Gymnospermae,C,Ginkgoales,Pteridaceae,Arctopteris,Arctopteris obtuspinnata,116.057,39.792,-145,-100,118.08,40.89,7
24,Gymnospermae,C,Ginkgoales,Pteridaceae,Arctopteris,Arctopteris orientalis,117.669,49.51,-145,-100,118.82,51.21,7
25,Gymnospermae,C,Cycadopsida,Pteridaceae,Arctopteris,Arctopteris heteropinnula,123.542,42.448,-145,-100,125.42,43.98,7
26,Gymnospermae,C,Czekanowskiales,Pteridaceae,Arctopteris,Arctopteris rarinervis,126.906,43.671,-145,-100,128.73,45.39,6
27,Gymnospermae,C,Ginkgoales,Pteridaceae,Arctopteris,Arctopteris rarinervis,130.297,47.349,-145,-100,132.28,49.9,6
28,Gymnospermae,C,Czekanowskiales,Pteridaceae,Arctopteris,Arctopteris rarinervis,131.011,45.336,-145,-100,133.3,47.93,6
29,Gymnospermae,Coniferopsida,O,F,Asiatifolium,Asiatifolium elegans,131.011,45.337,-145,-100,133.3,47.94,6
30,Gymnospermae,Coniferopsida,O,Aspleniaceae,Asplenium,Asplenium dicksonianum,117.669,49.51,-145,-100,118.82,51.21,6
31,Gymnospermae,Coniferopsida,O,Aspleniaceae,Asplenium,Asplenium dicksonianum,120.579,49.242,-145,-100,121.87,51.14,6
32,Pteridophyta,Filicopsida,O,Aspleniaceae,Asplenium,Asplenium tiefanum,123.542,42.448,-145,-100,125.42,43.98,6
33,Gymnospermae,C,Ginkgoales,Aspleniaceae,Asplenium,Asplenium parvum,117.669,49.51,-145,-100,118.82,51.21,6
34,Gymnospermae,C,Ginkgoales,Aspleniaceae,Asplenium,Asplenium parvum,119.735,49.213,-145,-100,121,51.05,6
35,Gymnospermae,C,Ginkgoales,Aspleniaceae,Asplenium,Asplenium popovii,119.735,49.213,-145,-100,121,51.05,6
36,Gymnospermae,C,Ginkgoales,Aspleniaceae,Asplenium,Asplenium popovii,123.542,42.448,-145,-100,125.42,43.98,6
37,Gymnospermae,C,Ginkgoales,Aspleniaceae,Asplenium,Asplenium popovii,126.662,45.742,-145,-100,128.72,48.06,6
38,Bryophyta,C,Ginkgoales,Aspleniaceae,Asplenium,Asplenium popovii,131.124,45.26,-145,-100,133.43,47.87,6
39,Gymnospermae,Pteridospermopsida,O,Taxodiaceae,Athrotaxites,Athrotaxites masgnifolius,121.67,41.999,-145,-100,123.55,43.42,6
40,Gymnospermae,C,Ginkgoales,Taxodiaceae,Athrotaxites,Athrotaxites orientalis,119.585,45.286,-145,-100,121.46,47.14,6
41,Gymnospermae,Coniferopsida,Coniferales,Taxodiaceae,Athrotaxites,Athrotaxites berryi,123.539,42.439,-145,-100,125.41,43.97,7
42,Gymnospermae,Coniferopsida,Coniferales,Taxodiaceae,Athrotaxites,Athrotaxites berryi,131.15,46.644,-145,-100,133.27,49.25,7
43,Angiospermae,Monocotyledoneae,O,Taxodiaceae,Athrotaxites,Athrotaxites cf.berryi,121.41,41.78,-145,-100,123.31,43.19,7
44,Gymnospermae,C,O,Taxodiaceae,Athrotaxopsis,Athrotaxopsis expansa,130.961,45.293,-145,-100,133.26,47.89,7
45,Gymnospermae,Coniferopsida,O,Athyriaceae,Athyrium,Athyrium asymmetricum,117.669,49.51,-145,-100,118.82,51.21,7
46,Gymnospermae,Coniferopsida,O,Athyriaceae,Athyrium,Athyrium asymmetricum,119.735,49.213,-145,-100,121,51.05,6
47,Gymnospermae,Coniferopsida,O,Athyriaceae,Athyrium,Athyrium cretaceum,119.592,45.429,-145,-100,121.45,47.28,7
48,Gymnospermae,Coniferopsida,O,Athyriaceae,Athyrium,Athyrium cretaceum,121.67,42.021,-145,-100,123.55,43.44,7
49,Gymnospermae,Coniferopsida,O,Athyriaceae,Athyrium,Athyrium fuxinense,121.67,42.021,-145,-100,123.55,43.44,7
50,Gymnospermae,Coniferopsida,O,Athyriaceae,Athyrium,Athyrium fuxinense,121.676,42.001,-145,-100,123.56,43.43,7
51,Gymnospermae,Coniferopsida,O,Athyriaceae,Athyrium,Athyrium asymmetricum,123.542,42.448,-145,-100,125.42,43.98,7
52,Gymnospermae,Coniferopsida,O,Athyriaceae,Athyrium,Athyrium cretaceum,123.542,42.448,-145,-100,125.42,43.98,7
53,Gymnospermae,Coniferopsida,O,Athyriaceae,Athyrium,Athyrium asymmetricum,125.906,44.158,-145,-100,128.14,46.44,4
54,Gymnospermae,Coniferopsida,O,Athyriaceae,Athyrium,Athyrium cretaceum,125.906,44.158,-145,-100,128.14,46.44,7
55,Gymnospermae,Coniferopsida,O,Athyriaceae,Athyrium,Athyrium dentosum,125.906,44.158,-145,-100,128.14,46.44,7
56,Gymnospermae,Coniferopsida,O,Athyriaceae,Athyrium,Athyrium fuxinense,125.906,44.158,-145,-100,128.14,46.44,7
57,Gymnospermae,Coniferopsida,O,Athyriaceae,Athyrium,Athyrium asymmetricum,131.011,45.336,-145,-100,133.3,47.93,7
58,Gymnospermae,Cycadopsida,Bennettiales,Athyriaceae,Athyrium,Athyrium hulunianum,117.669,49.51,-145,-100,118.82,51.21,7
59,Gymnospermae,Cycadopsida,Cycadales,Athyriaceae,Athyrium,Athyrium hailaerianum,119.735,49.213,-145,-100,121,51.05,7
60,Gymnospermae,Cycadopsida,Bennettiales,Athyriaceae,Athyrium,Athyrium neimongianum,119.592,45.429,-145,-100,121.45,47.28,7
61,Gymnospermae,Coniferopsida,O,F,Baiera,Baiera cf.minima,114.881,40.823,-145,-100,116.78,41.84,7
62,Gymnospermae,Coniferopsida,O,F,Baiera,Baiera cf.minima,116.194,39.97,-145,-100,118.2,41.07,7
63,Gymnospermae,Coniferopsida,O,F,Baiera,Baiera cf.phillipsi,105.544,33.686,-145,-100,108.08,31.5,7
64,Gymnospermae,Coniferopsida,O,F,Baiera,Baiera furcata,109.938,33.861,-145,-100,112.01,33.04,7
