,Phylum,Class,Order,Family,Genus,Species,modern_longitude,modern_latitude,start_year,end_year,ancient_longitude,ancient_latitude,era
0,Pteridophyta,Gnetopsida,O,Ephedraceae锛,Amphiephedra,Amphiephedra rhamnoides,119.394,41.243,-163,-145,122.57,42.5,7
1,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites angulatus,130.796,46.055,-163,-145,134.9,47.82,7
2,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites arcticus,130.266,43.74,-163,-145,133.7,44.89,7
3,Angiospermae,C,O,F,Antholithus,Antholithus ovatus,120.83,41.612,-163,-145,124.04,42.85,7
4,Gymnospermae,Coniferopsida,O,Araucariaceae,Araucarites,Araucarites minor,123.423,41.833,-163,-145,126.68,43.05,7
5,Angiospermae,Dicotyledoneae,O,F,Archaefructus,Archaefructus liaoningensis,120.462,41.587,-163,-145,123.66,42.83,7
6,Angiospermae,Dicotyledoneae,O,F,Archaefructus,Archaefructus sinensis,119.401,41.245,-163,-145,122.57,42.5,7
7,Pteridophyta,Filicopsida,O,F,Asplenium,Asplenium argutulum,126.662,45.742,-163,-145,130.62,47.52,7
8,Pteridophyta,Filicopsida,O,F,Asplenium,Asplenium distanis,130.796,46.055,-163,-145,134.9,47.82,7
9,Gymnospermae,Coniferopsida,O,Taxodiaceae,Athrotaxites,Athrotaxites berryi,132.189,46.324,-163,-145,136.34,48.08,7
10,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera borealis,120.973,41.61,-163,-145,124.18,42.85,7
11,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera cf.gracilis,121.678,45.365,-163,-145,125.47,47.15,7
12,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera concinna,115.092,40.606,-163,-145,118.17,41.89,7
13,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera concinna,124.141,42.842,-163,-145,127.43,44.06,7
14,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera furcata,119.394,41.243,-163,-145,122.57,42.5,7
15,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera gracilis,120.83,41.612,-163,-145,124.04,42.85,7
16,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera manchurica,119.586,45.427,-163,-100,121.66,46.98,7
17,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera manchurica,123.423,41.833,-163,-145,126.68,43.05,7
18,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera manchurica,124.562,44.018,-163,-145,128.45,45.8,7
19,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera minima,125.896,44.165,-163,-145,129.82,45.95,7
20,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera orientalis,119.267,42.035,-163,-145,122.45,43.29,7
21,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera orientalis,125.499,44.289,-163,-145,129.41,46.07,7
22,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera valida,123.423,41.833,-163,-145,126.68,43.05,7
23,Gymnospermae,Cycadopsida,Cycadales,F,Beania,Beania mishanensis,131.692,45.602,-163,-145,135.82,47.36,7
24,Angiospermae,C,O,F,Beipiaoa,Beipiaoa parva,120.836,41.615,-163,-145,124.04,42.86,7
25,Angiospermae,C,O,F,Beipiaoa,Beipiaoa rotunda,120.836,41.615,-163,-145,124.04,42.86,7
26,Angiospermae,C,O,F,Beipiaoa,Beipiaoa spinosa,120.836,41.615,-163,-145,124.04,42.86,6
27,Pteridophyta,Filicopsida,O,Botrychiaceae,Botrychites,Botrychites reheensis,120.84,41.62,-163,-145,124.05,42.86,6
28,Gymnospermae,Coniferopsida,O,Cupressaceae,Brachyphyllum,Brachyphyllum lingxiangense,114.744,30.012,-163,-145,118.23,31.21,6
29,Gymnospermae,Coniferopsida,Coniferales,F,Brachyphyllum,Brachyphyllum rhombicum,120.968,41.61,-163,-145,124.18,42.85,6
30,Gymnospermae,Coniferopsida,Coniferales,F,Brachyphyllum,Brachyphyllum cf.Japonicum,120.829,41.612,-163,-145,124.03,42.85,6
31,Gymnospermae,Coniferopsida,Coniferales,F,Brachyphyllum,Brachyphyllum expansum,120.383,41.495,-163,-145,123.58,42.74,6
32,Gymnospermae,Coniferopsida,Coniferales,F,Brachyphyllum,Brachyphyllum longispicum,120.841,41.607,-163,-145,124.05,42.85,6
33,Gymnospermae,Coniferopsida,Coniferales,F,Brachyphyllum,Brachyphyllum mamillare,121.045,41.805,-163,-145,124.26,43.05,6
34,Gymnospermae,Coniferopsida,Coniferales,F,Brachyphyllum,Brachyphyllum obesum,117.359,25.944,-163,-100,121.66,27.74,6
35,Gymnospermae,Coniferopsida,Coniferales,F,Brachyphyllum,Brachyphyllum obesum,120.707,36.977,-163,-100,122.82,38.02,6
36,Gymnospermae,C,O,F,Carpolithus,Carpolithus fabiformis,130.797,45.377,-163,-145,134.89,47.14,6
37,Gymnospermae,C,O,F,Carpolithus,Carpolithus jidongensis,131.248,45.189,-163,-145,135.35,46.95,6
38,Gymnospermae,C,O,F,Carpolithus,Carpolithus lingxiangensis,114.744,30.012,-163,-145,118.23,31.21,6
39,Gymnospermae,C,O,F,Carpolithus,Carpolithus multiseminatlis,123.423,41.833,-163,-145,126.68,43.05,6
40,Gymnospermae,C,O,F,Carpolithus,Carpolithus pachythelis,123.423,41.833,-163,-145,126.68,43.05,6
41,Gymnospermae,C,O,F,Cedroxylon,Cedroxylon jinshaense,119.586,45.427,-163,-145,123.31,47.21,7
42,Gymnospermae,C,O,F,Cedroxylon,Cedroxylon jinshaense,131.838,45.527,-163,-145,135.97,47.28,7
43,Gymnospermae,Coniferopsida,O,F,Cephalotaxopsis,Cephalotaxopsis leptophylla,120.968,41.61,-163,-145,124.18,42.85,7
44,Gymnospermae,Coniferopsida,O,Taxodiaceae,Cephalotaxopsis,Cephalotaxopsis leptophylla,120.968,41.61,-163,-145,124.18,42.85,7
45,Gymnospermae,Coniferopsida,O,Taxodiaceae,Cephalotaxopsis,Cephalotaxopsis sinensis,123.423,41.833,-163,-145,126.68,43.05,7
46,Angiospermae,C,Gnetales,F,Chaoyangia,Chaoyangia liangii,120.445,41.571,-163,-145,123.64,42.82,6
47,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis acuta,128.957,42.516,-163,-145,132.34,43.68,7
48,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis browniana,114.543,26.61,-163,-100,118.72,27.55,7
49,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis cf.exiliformis,120.091,27.787,-163,-145,124.2,30.45,7
50,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis cf.falcata,119.892,29.452,-163,-100,122.76,31.79,7
51,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis cf.falcata,119.892,29.452,-163,-145,123.44,32,7
52,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis contracta,132.32,45.885,-163,-145,136.47,47.64,7
53,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis delicatula,124.147,42.845,-163,-145,127.44,44.06,4
54,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis delicatula,129.009,42.546,-163,-145,132.39,43.71,7
55,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis denticulata,121.676,42.028,-163,-145,124.9,43.26,7
56,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis distanis,124.036,42.564,-163,-145,127.32,43.78,7
57,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis distanis,123.831,45.025,-163,-145,127.69,46.81,7
58,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis minutusa,119.896,29.469,-163,-145,123.44,32.01,7
59,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis shaheziensis,121.983,39.995,-163,-145,125.19,41.23,7
60,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis vasilevskae,87.303,44.025,-163,-145,90.07,45.38,7
61,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis waltoni,132.32,45.885,-163,-145,136.47,47.64,7
62,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis xilinensis,110.47,40.899,-163,-100,112.25,41.62,7
63,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis yunshanensis,132.815,45.865,-163,-145,136.98,47.62,7
64,Pteridophyta,Filicopsida,O,Gleicheniaceae,Cladophlebis,Cladophlebis takeyamae,130.49,44.834,-163,-145,134.57,46.6,7
65,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis lobifolia,130.524,44.918,-163,-145,134.6,46.68,7
66,Pteridophyta,Filicopsida,O,F,Cladphlebis,Cladphlebis cf.browniana,114.384,24.329,-163,-100,119.39,25.34,7
67,Gymnospermae,Coniferopsida,O,Cheirolepidiaceae,Coniferites,Coniferites marchaensis,119.642,45.523,-163,-100,121.71,47.08,7
68,Pteridophyta,Filicopsida,O,Dicksoniaceae,Coniopteris,Coniopteris angustiloba,120.836,41.614,-163,-145,124.04,42.86,7
69,Pteridophyta,Filicopsida,O,Dicksoniaceae,Coniopteris,Coniopteris arctica,130.807,45.38,-163,-145,134.9,47.14,7
70,Pteridophyta,Filicopsida,O,Dicksoniaceae,Coniopteris,Coniopteris bicrenata,126.669,45.747,-163,-145,130.63,47.53,5
71,Pteridophyta,Filicopsida,O,Dicksoniaceae,Coniopteris,Coniopteris burejensis,126.555,43.843,-163,-145,129.91,45.03,7
72,Pteridophyta,Filicopsida,O,Dicksoniaceae,Coniopteris,Coniopteris burejensis,130.85,45.354,-163,-145,134.94,47.12,7
73,Pteridophyta,Filicopsida,O,Dicksoniaceae,Coniopteris,Coniopteris burejensis,131.265,47.54,-163,-145,135.4,49.3,7
74,Pteridophyta,Filicopsida,O,Dicksoniaceae,Coniopteris,Coniopteris cf.setacea,125.5,46.146,-163,-145,129.42,47.93,7
75,Pteridophyta,Filicopsida,O,Dicksoniaceae,Coniopteris,Coniopteris depensis,127.437,50.228,-163,-145,131.46,52,7
76,Pteridophyta,Filicopsida,O,Dicksoniaceae,Coniopteris,Coniopteris exgr.simplex,131.678,45.601,-163,-145,135.8,47.36,6
