,Phylum,Class,Order,Family,Genus,Species,modern_longitude,modern_latitude,start_year,end_year,ancient_longitude,ancient_latitude,era
0,Angiospermae,Monocotyledoneae,O,Alangiaceae,Alangium,Alangium feijiajieense,127.96,45.211,-100,-66,118.2,50.34,7
1,Angiospermae,Dicotyledoneae,O,Betulaceae,Alnites,Alnites jelisejevii,130.403,48.889,-100,-66,119.28,54.32,7
2,Angiospermae,Dicotyledoneae,O,Betulaceae,Alnus,Alnus protobarbata,130.403,48.889,-100,-66,119.28,54.32,7
3,Angiospermae,Dicotyledoneae,O,Vitaceae,Ampelopsis,Ampelopsis acerifolia,130.403,48.889,-100,-66,119.28,54.32,7
4,Angiospermae,Dicotyledoneae,O,Araliaceae,Aralia,Aralia firma,87.236,29.294,-100,-66,78.76,12.29,7
5,Angiospermae,Dicotyledoneae,O,F,Arthollia,Arthollia sinenis,130.365,42.862,-100,-66,121.21,47.77,7
6,Angiospermae,Dicotyledoneae,O,Aspleniaceae,Asplenium,Asplenium dicksonianum,129.417,49.115,-100,-66,118.1,54.36,7
7,Angiospermae,Dicotyledoneae,O,Betulaceae,Betula,Betula prisca,130.403,48.889,-100,-66,119.28,54.32,7
8,Angiospermae,Dicotyledoneae,O,Betulaceae,Betula,Betula sachalinensis,130.403,48.889,-100,-66,119.28,54.32,7
9,Angiospermae,Dicotyledoneae,O,Betulaceae,Betuliphyllum,Betuliphyllum hunchunensis,130.365,42.862,-100,-66,121.21,47.77,7
10,Angiospermae,Dicotyledoneae,O,F,Brachyphyllum,Brachyphyllum rhombimaniferum,108.493,22.761,-100,-66,107.54,23.53,7
11,Angiospermae,Dicotyledoneae,O,F,Brachyphyllum,Brachyphyllum rhombimaniferum,116.403,25.065,-100,-66,113.5,28.92,7
12,Angiospermae,Dicotyledoneae,O,Leguminosae,Cassia,Cassia cf.fayettensis,88.357,29.355,-100,-33,79.76,12.41,7
13,Angiospermae,Dicotyledoneae,O,Leguminosae,Cassia,Cassia marshalensis,80.761,31.177,-100,-33,60.53,-28.75,7
14,Angiospermae,C,O,Fagaceae,Castanea,Castanea tangyuaensis,129.897,46.728,-100,-66,119.67,52.15,7
15,Angiospermae,Dicotyledoneae,O,Celastraceae,Celastrophyllum,Celastrophyllum newberryanum,130.365,42.862,-100,-66,121.21,47.77,7
16,Angiospermae,Dicotyledoneae,O,Celastraceae,Celastrophyllum,Celastrophyllum ovale,112.577,40.894,-100,-66,103.53,42.79,7
17,Pteridophyta,Filicopsida,O,Celastraceae,Celastrophyllum,Celastrophyllum zhouziense,112.577,40.894,-100,-66,103.53,42.79,7
18,Gymnospermae,C,Bennetittales,Celastraceae,Celastrophyllum,Celastrophyllum subprotophyllum,130.403,48.889,-100,-66,119.28,54.32,7
19,Angiospermae,Dicotyledoneae,O,Celastraceae,Celastrus,Celastrus minor,87.656,29.379,-100,-33,79.13,12.39,7
20,Angiospermae,Dicotyledoneae,O,Ceratophyllaceae,Ceratophyllum,Ceratophyllum jilinense,130.365,42.862,-100,-66,121.21,47.77,7
21,Angiospermae,Dicotyledoneae,O,Cercidiphyllaceae,Cercidiphyllum,Cercidiphyllum arcticum,127.96,45.211,-100,-66,118.2,50.34,7
22,Angiospermae,Dicotyledoneae,O,Cercidiphyllaceae,Cercidiphyllum,Cercidiphyllum elliptcum,89.053,29.294,-100,-66,80.38,12.39,7
23,Angiospermae,C,O,Tiliaceae,Cf.Tiliaephyllum,Cf.Tiliaephyllum tsagajannicum,130.403,48.889,-100,-66,119.28,54.32,7
24,Angiospermae,Dicotyledoneae,O,Lauraceae,Cinnamomum,Cinnamomum hesperium,108.629,22.609,-100,-66,107.74,23.45,7
25,Angiospermae,Dicotyledoneae,O,Lauraceae,Cinnamomum,Cinnamomum newberryi,108.629,22.609,-100,-66,107.74,23.45,7
26,Angiospermae,Dicotyledoneae,O,F,Cissites,Cissites hunchunensis,130.365,42.862,-100,-66,121.21,47.77,6
27,Angiospermae,Dicotyledoneae,O,F,Cissites,Cissites jingxiensis,117.172,40.432,-100,-66,108.31,43.15,6
28,Angiospermae,Dicotyledoneae,O,Vitaceae,Cissus,Cissus marginata,130.403,48.889,-100,-66,119.28,54.32,6
29,Angiospermae,Dicotyledoneae,O,F,Cladophlebis,Cladophlebis septentrionalis,130.41,48.894,-100,-66,119.28,54.33,6
30,Angiospermae,Dicotyledoneae,O,Corylaceae,Corylites,Corylites fosteri,130.403,48.889,-100,-66,119.28,54.32,6
31,Angiospermae,Dicotyledoneae,O,Corylaceae,Corylites,Corylites hunchunensis,130.365,42.862,-100,-66,121.21,47.77,6
32,Angiospermae,Dicotyledoneae,O,Hamamelidaceae,Corylopsiphyllum,Corylopsiphyllum jilinense,130.365,42.862,-100,-66,121.21,47.77,6
33,Angiospermae,Dicotyledoneae,O,Corylaceae,Corylus,Corylus kenaiana,127.96,45.211,-100,-66,118.2,50.34,6
34,Angiospermae,Dicotyledoneae,O,Corylaceae,Credneria,Credneria inordinata,130.403,48.889,-100,-66,119.28,54.32,6
35,Angiospermae,Dicotyledoneae,O,Cupressaceae,Cupressinoxylon,Cupressinoxylon jiayinense,130.394,48.887,-100,-66,119.27,54.32,6
36,Angiospermae,Dicotyledoneae,O,Juglandaceae,Cycrocarya,Cycrocarya macroptera,130.403,48.889,-100,-66,119.28,54.32,6
37,Gymnospermae,C,Ginkgoales,Moraceae,Debeya,Debeya tikhonovichii,130.403,48.889,-100,-66,119.28,54.32,6
38,Angiospermae,Monocotyledoneae,O,Liliaceae,Dianella,Dianella longifolia,88.833,29.358,-100,-33,80.18,12.44,6
39,Angiospermae,Dicotyledoneae,O,F,Dicotylophyllum,Dicotylophyllum hunchuniphyllum,130.365,42.862,-100,-66,121.21,47.77,6
40,Gymnospermae,C,Bennetittales,F,Dicotylophyllum,Dicotylophyllum subpyrifolium,130.365,42.862,-100,-66,121.21,47.77,6
41,Angiospermae,Dicotyledoneae,O,Ebenaceae,Diospyros,Diospyros rotundifolia,124.444,46.862,-100,-66,113.8,51.3,7
42,Gymnospermae,C,Bennetittales,F,Dryophyllum,Dryophyllum subcretaceum,124.444,46.862,-100,-66,113.8,51.3,7
43,Angiospermae,Dicotyledoneae,O,F,Equisetum,Equisetum hunchunense,130.358,42.859,-100,-66,121.2,47.77,7
44,Angiospermae,Dicotyledoneae,O,Myrtaceae,Eucalyptus,Eucalyptus angusta,88.357,29.355,-100,-33,79.76,12.41,7
45,Angiospermae,Dicotyledoneae,O,Myrtaceae,Eucalyptus,Eucalyptus geinitzii,80.761,31.177,-100,-33,60.53,-28.75,7
46,Angiospermae,Dicotyledoneae,O,Myrtaceae,Eucalyptus,Eucalyptus geinitzii,88.357,29.355,-100,-33,79.76,12.41,6
47,Angiospermae,Dicotyledoneae,O,Myrtaceae,Eucalyptus,Eucalyptus oblongifolia,80.761,31.177,-100,-33,60.53,-28.75,7
48,Angiospermae,Dicotyledoneae,O,Moraceae,Ficus,Ficus daphnogenoides,89.814,29.317,-100,-66,81.06,12.46,7
49,Angiospermae,Dicotyledoneae,O,Moraceae,Ficus,Ficus myrtifolius,80.761,31.177,-100,-33,60.53,-28.75,7
50,Angiospermae,Dicotyledoneae,O,Moraceae,Ficus,Ficus platanicostata,127.96,45.211,-100,-66,118.2,50.34,7
51,Gymnospermae,C,Bennetittales,Moraceae,Ficus,Ficus steophensoni,87.656,29.379,-100,-33,79.13,12.39,7
