,Phylum,Class,Order,Family,Genus,Species,modern_longitude,modern_latitude,start_year,end_year,ancient_longitude,ancient_latitude,era
0,Gymnospermae,Coniferopsida,O,F,Aethophyllum,Aethophyllum niuingziensis,120.645,41.58,-174,-163,125.68,44.76,7
1,Gymnospermae,C,O,F,Allicospermum,Allicospermum ovoides,95.751,37.527,-174,-163,100.42,36.63,7
2,Pteridophyta,Sphenopsida,Equisetales,F,Annulariopsis,Annulariopsis cf.inopinata,110.311,39.048,-174,-163,114.7,42.45,7
3,Pteridophyta,Sphenopsida,Equisetales,F,Annulariopsis,Annulariopsis simpsonii,92.667,43.141,-174,-163,103.57,40.71,7
4,Pteridophyta,Sphenopsida,Equisetales,F,Annulariopsis,Annulariopsis simpsonii,108.941,34.897,-174,-163,113.16,38.32,7
5,Pteridophyta,Sphenopsida,Equisetales,F,Annulariopsis,Annulariopsis simpsonii,109.604,40.022,-174,-163,113.99,43.44,7
6,Pteridophyta,Sphenopsida,Equisetales,F,Annulariopsis,Annulariopsis simpsonii,115.685,39.964,-174,-163,120.39,43.27,7
7,Pteridophyta,Sphenopsida,Equisetales,F,Annulariopsis,Annulariopsis xibeiensis,75.026,39.725,-174,-163,82.6,42.38,7
8,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites angulatus,110.266,40.671,-174,-163,114.7,44.08,7
9,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites angulatus,120.766,41.799,-174,-163,125.82,44.97,7
10,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites angulatus,131.89,45.637,-174,-163,138.47,49.05,7
11,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites cf.gracilis,108.816,31.117,-174,-163,113.37,32.86,7
12,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites cf.gracilis,110.761,30.965,-174,-163,115.33,33.19,7
13,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites cf.hartzii,75.987,39.47,-174,-163,83.56,42.05,7
14,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites cf.major,115.932,39.962,-174,-163,120.65,43.26,7
15,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites cf.major,120.618,41.102,-174,-163,125.63,44.28,7
16,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites cf.minor,95.361,37.85,-174,-163,100.01,36.94,7
17,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites cf.minor,97.81,37.348,-174,-163,102.47,36.56,7
18,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites cf.minor,106.514,33.85,-174,-163,110.18,34.91,7
19,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites cf.minor,110.607,31.006,-174,-163,115.16,33.19,7
20,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites cf.minor,120.618,41.102,-174,-163,125.63,44.28,7
21,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites fangounus,115.69,39.971,-174,-163,120.39,43.27,7
22,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites giganteus,120.963,41.701,-174,-163,126.02,44.87,7
23,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites gracilis,110.607,31.006,-174,-163,115.16,33.19,7
24,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites haifanggouensis,119.223,41.312,-174,-163,124.17,44.53,7
25,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites haifanggouensis,120.832,40.71,-174,-163,125.84,43.88,7
26,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites kornilovae,121.046,41.805,-174,-163,126.12,44.97,6
27,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites latipinnatus,115.281,40.501,-174,-163,119.99,43.81,6
28,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites latirhchis,115.69,39.971,-174,-163,120.39,43.27,6
29,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites major,92.675,43.146,-174,-163,103.58,40.71,6
