,Phylum,Class,Order,Family,Genus,Species,modern_longitude,modern_latitude,start_year,end_year,ancient_longitude,ancient_latitude,era
1,Angiospermae,,,,Antholithus ,Antholithus  fulongshanensis,120.619,41.101,-174,-163,125.63,44.28,4
2,Angiospermae,Dicotyledoneae,,Sinodicotiaceae,Cycadicotis,Cycadicotis nissonervis,120.619,41.101,-174,-163,125.63,44.28,4
3,Angiospermae,Dicotyledoneae,,Rhamnaceae,Paliurus,Paliurus jurassinicus,120.351,45.966,-174,-163,126.14,49.68,4
4,Angiospermae,Monocotyledoneae,,Potamogetonaceae,Potamogeton,Potamogeton jeholensis,119.357,40.961,-174,-145,122.52,42.22,4
5,Angiospermae,Dicotyledoneae,,Juglandaceae,Pterocarya,Pterocarya siniptera,120.351,45.966,-174,-163,126.14,49.68,4
6,Angiospermae,Dicotyledoneae,,Rhamnaceae,Zizyphus,Zizyphus liaoxijujuba,120.351,45.966,-174,-163,126.14,49.68,4
7,Angiospermae,,,,Antholithus ,Antholithus  ovatus,120.83,41.612,-163,-145,124.04,42.85,5
8,Angiospermae,Dicotyledoneae,,,Archaefructus,Archaefructus liaoningensis,120.462,41.587,-163,-145,123.66,42.83,5
9,Angiospermae,Dicotyledoneae,,,Archaefructus,Archaefructus sinensis,119.401,41.245,-163,-145,122.57,42.5,5
10,Angiospermae,,,,Beipiaoa,Beipiaoa parva ,120.836,41.615,-163,-145,124.04,42.86,5
11,Angiospermae,,,,Beipiaoa,Beipiaoa rotunda,120.836,41.615,-163,-145,124.04,42.86,5
12,Angiospermae,,,,Beipiaoa,Beipiaoa spinosa,120.836,41.615,-163,-145,124.04,42.86,5
13,Angiospermae,,Gnetales,,Chaoyangia,Chaoyangia liangii,120.445,41.571,-163,-145,123.64,42.82,5
14,Angiospermae,,,,Erenia,Erenia stenoptera,120.836,41.615,-163,-145,124.04,42.86,5
15,Angiospermae,,,,Gurvanella ,Gurvanella  exquisites ,123.423,41.833,-163,-145,126.68,43.05,5
16,Angiospermae,Dicotyledoneae,,Ranunculaceae,Ranunculus,Ranunculus jeholensis,119.357,40.961,-163,-145,122.52,42.22,5
17,Angiospermae,Dicotyledoneae,,Nymphaceae,Rhizoma,Rhizoma elliptica,120.836,41.615,-163,-145,124.04,42.86,5
18,Angiospermae,Dicotyledoneae,,,Anomozamites,Anomozamites angulatus,119.586,45.429,-145,-100,121.44,47.28,6
