,species_name,modern_longitude,modern_latitude,start_year,end_year,ancient_longitude,ancient_latitude
0,Thallites   pinghsiangensis,113.866,27.618,-237,-201,110.51,36.66
1,Phlebopteris   ?linearifolis,109.016,35.353,-237,-201,107.06,48.32
2,Equisetites   acanthodon,109.01100000000001,35.353,-237,-201,107.06,48.32
3,Equisetites   acanthodon,119.309,41.199,-237,-201,121.77,51.46
4,Cladophlebis   aff. gigantea  ,120.03399999999999,29.383,-237,-201,117.38,38.34
5,Phlebopteris   angustloba,113.97200000000001,22.971,-237,-201,110.6,32.01
6,Phlebopteris   angustloba,114.507,26.977,-237,-201,111.22,36.01
7,Phlebopteris   angustloba,114.564,26.972,-237,-201,111.28,36.01
8,Phlebopteris   angustloba,118.54299999999999,28.596,-237,-174,122.51,39.11
9,Marattia   antiqua,101.74700000000001,26.304,-237,-201,97.2,35.17
10,Angiopteris   antiqua ,104.795,30.559,-237,-201,100.4,39.51
11,Angiopteris   antiqua ,101.67200000000001,26.055,-237,-201,97.13,34.92
12,Dictyophyllum   aquale,99.79799999999999,28.931,-237,-201,81.1,31.58
13,Clathropteris   arcuata,111.712,31.224,-237,-201,108.12,40.26
14,Equisetites   arenaceus,94.052,31.919,-237,-201,72.88,28.33
15,Equisetites   arenaceus,95.805,33.109,-237,-201,75.54,34.29
16,Equisetites   arenaceus,97.661,31.039,-237,-201,78.18,32.91
17,Equisetum   arenaceus,101.632,26.541,-237,-201,97.06,35.4
18,Todites   asianus ,102.213,26.564,-237,-201,97.7,35.44
19,Cladophlebis   asiatica,116.101,39.94,-237,-201,117.43,51.08
20,Cladophlebis   asiatica,120.77,41.8,-237,-163,128.76,48.71
21,Cladophlebis   asiatica,126.56700000000001,41.961,-237,-201,130.24,50.23
22,Marattia   asiatica,104.795,30.559,-237,-201,100.4,39.51
23,Marattia   asiatica,117.961,27.811,-237,-201,115.04,36.81
24,Marattia   asiatica,97.406,30.62,-237,-201,76.4,27.86
25,Marattia   asiatica,99.79799999999999,28.931,-237,-201,81.1,31.58
26,Marattia   asiatica,100.275,30.0,-237,-201,81.13,32.73
27,Marattia   asiatica,101.37899999999999,27.032,-237,-201,96.76,35.88
28,Marattia   asiatica,101.90799999999999,25.162,-237,-201,97.42,34.03
29,Neocalamites    asperrimus,109.01100000000001,35.353,-237,-201,107.06,48.32
30,Annulariopsis   atannularioides,110.836,39.106,-237,-201,110.84,51.53
31,Equisetites   beanii,129.628,43.587,-237,-201,134.48,50.88
32,Sphenopteris   bifurcata,103.861,28.303,-237,-201,99.44,37.23
33,Phlebopteris   brauni,115.85600000000001,27.945,-237,-201,112.72,36.97
34,Phlebopteris   brauni,117.56700000000001,25.4,-237,-201,114.55,34.4
35,Thaumatopteris   brauniana,105.86,32.49,-237,-201,101.52,41.46
36,Thaumatopteris   brauniana,112.948,25.399,-237,-201,109.5,34.44
37,Thaumatopteris   brauniana,112.962,25.132,-237,-201,109.51,34.17
38,Thaumatopteris   brauniana,113.273,26.031,-237,-201,109.85,35.07
39,Thaumatopteris   brauniana,99.066,29.406,-237,-201,80.21,31.81
40,Thaumatopteris   brauniana,101.902,25.155,-237,-201,97.42,34.02
41,Thaumatopteris   brauniana,104.32,27.145,-237,-201,99.99,36.08
42,Equisetites   brevidentatus ,112.176,31.029,-237,-201,108.64,40.07
43,Equisetites   brevidentatus ,110.51799999999999,38.129,-237,-201,110.01,50.66
44,Equisetites   brevidentatus ,126.40700000000001,41.949,-237,-201,130.06,50.26
45,Neocalamites    brevifolius,109.958,36.575,-237,-201,108.67,49.29
46,Equisetites   brevitubatus,98.094,36.303,-237,-201,96.97,43.62
47,Cladophlebis   calcariformis,108.52600000000001,31.369,-237,-201,104.55,40.38
48,Cladophlebis   calcariformis,101.669,26.056,-237,-201,97.12,34.92
49,Pecopteris   callipteroides,104.795,30.559,-237,-201,100.4,39.51
50,Pecopteris   callipteroides,105.042,31.068,-237,-201,100.66,40.02
51,Pecopteris   callipteroides,101.67200000000001,26.055,-237,-201,97.13,34.92
52,?Neocalamites   carcinoides,106.238,36.015,-237,-201,104.0,49.53
53,Neocalamites   carcinoides,109.634,36.739,-237,-201,108.36,49.52
54,Neocalamites    carcinoides,104.986,38.144,-237,-201,103.32,51.85
55,Neocalamites    carcinoides,107.50299999999999,31.213,-237,-201,103.4,40.21
56,Neocalamites    carcinoides,110.60700000000001,31.006,-237,-201,106.88,40.04
57,Neocalamites    carcinoides,109.051,35.209,-237,-201,107.05,48.17
58,Neocalamites    carcinoides,101.087,41.957,-237,-201,107.15,48.52
59,Neocalamites    carcinoides,109.111,35.399,-237,-201,107.19,48.34
60,Neocalamites    carcinoides,109.634,36.739,-237,-201,108.36,49.52
61,Neocalamites    carcinoides,109.958,36.575,-237,-201,108.67,49.29
62,Neocalamites    carcinoides,110.006,36.579,-237,-201,108.73,49.29
63,Neocalamites    carcinoides,113.771,27.997,-237,-201,110.41,37.03
64,Neocalamites    carcinoides,113.866,27.618,-237,-201,110.51,36.66
65,Neocalamites    carcinoides,119.309,41.199,-237,-201,121.77,51.46
66,Neocalamites    carcinoides,119.354,42.196,-237,-201,122.38,52.38
67,Neocalamites    carcinoides,125.68799999999999,40.994,-237,-201,128.73,49.57
68,Neocalamites    carcinoides,126.375,41.927,-237,-201,130.01,50.25
69,Neocalamites    carcinoides,126.375,41.927,-237,-201,130.01,50.25
70,Neocalamites    carcinoides,126.40700000000001,41.949,-237,-201,130.06,50.26
71,Neocalamites    carcinoides,96.35799999999999,32.963,-237,-201,76.12,34.32
72,Neocalamites    carcinoides,99.80799999999999,28.955,-237,-201,81.1,31.6
73,Neocalamites    carcinoides,82.12100000000001,42.071,-237,-201,86.66,54.67
74,Neocalamites    carcinoides,82.12100000000001,42.071,-237,-201,86.66,54.67
75,Neocalamites    carcinoides,89.165,42.945,-237,-201,95.32,53.3
76,Neocalamites    carcinoides,101.035,26.903,-237,-201,96.39,35.74
77,Neocalamites    carcinoides,101.566,26.601,-237,-201,96.99,35.46
78,Neocalamites    carcinoides,101.55799999999999,37.048,-237,-201,98.64,51.43
79,Neocalamites   carrerei,104.62200000000001,29.597,-237,-201,100.24,38.54
80,Neocalamites   carrerei,89.178,43.901,-237,-201,100.32,51.77
81,Neocalamites   carrerei,104.67399999999999,28.762,-237,-201,100.33,37.71
82,Neocalamites   carrerei,105.345,26.089,-237,-201,101.15,35.05
83,Neocalamites   carrerei,106.354,32.041,-237,-201,102.09,41.02
84,Neocalamites   carrerei,106.65899999999999,32.286,-237,-201,102.43,41.27
85,Neocalamites   carrerei,106.821,28.136,-237,-201,102.72,37.13
86,Neocalamites   carrerei,107.535,31.166,-237,-201,103.44,40.17
87,Neocalamites   carrerei,107.72399999999999,31.203,-237,-201,103.65,40.21
88,Neocalamites   carrerei,104.639,28.754,-237,-174,106.92,38.19
89,Neocalamites   carrerei,108.91799999999999,35.331,-237,-201,106.94,48.32
90,Neocalamites   carrerei,108.91799999999999,35.331,-237,-201,106.94,48.32
91,Neocalamites   carrerei,110.741,31.349,-237,-201,107.03,40.38
92,Neocalamites   carrerei,109.01100000000001,35.353,-237,-201,107.06,48.32
93,Neocalamites   carrerei,109.01100000000001,35.353,-237,-201,107.06,48.32
94,Neocalamites   carrerei,110.006,36.579,-237,-201,108.73,49.29
95,Neocalamites   carrerei,112.781,22.965,-237,-201,109.31,32.0
96,Neocalamites   carrerei,112.87200000000001,31.088,-237,-201,109.42,40.13
97,Neocalamites   carrerei,113.20700000000001,23.377,-237,-201,109.77,32.42
98,Neocalamites   carrerei,111.786,34.757,-237,-201,110.08,47.14
99,Neocalamites   carrerei,113.771,27.997,-237,-201,110.41,37.03
100,Neocalamites   carrerei,113.87899999999999,29.719,-237,-201,110.54,38.76
101,Neocalamites   carrerei,116.852,30.669,-237,-201,113.87,39.68
102,Neocalamites   carrerei,117.56200000000001,25.403,-237,-201,114.55,34.41
103,Neocalamites   carrerei,117.56200000000001,25.403,-237,-201,114.55,34.41
104,Neocalamites   carrerei,117.56200000000001,25.403,-237,-201,114.55,34.41
105,Neocalamites   carrerei,116.352,25.836,-237,-174,120.27,36.23
106,Neocalamites   carrerei,118.571,40.825,-237,-201,120.73,51.29
107,Neocalamites   carrerei,119.309,41.199,-237,-201,121.77,51.46
108,Neocalamites   carrerei,125.68799999999999,40.994,-237,-201,128.73,49.57
109,Neocalamites   carrerei,126.40700000000001,41.949,-237,-201,130.06,50.26
