,species_name,modern_longitude,modern_latitude,start_year,end_year,ancient_longitude,ancient_latitude
0,Annalepis   angusta,110.164,29.475,-247,-237,96.14,21.59
1,Equisetum   arenaceus,110.164,29.475,-247,-237,96.14,21.59
2,Gleichenites   benxiensis,123.69200000000001,41.284,-247,-237,103.09,43.54
3,Annalepis   brevicystis,108.759,31.469,-247,-237,93.87,22.59
4,Annalepis   brevicystis,108.744,29.752,-247,-237,94.86,21.15
5,Annalepis   brevicystis,109.51700000000001,30.284000000000002,-247,-237,95.16,21.96
6,Equisetites   brevidentatus ,93.101,43.571000000000005,-247,-237,71.53,49.05
7,Equisetites   brevidentatus ,89.178,43.901,-247,-237,84.82,47.34
8,Equisetites   brevidentatus ,110.494,38.009,-247,-237,88.78,41.72
9,Neocalamites    carcinoides,93.101,43.571000000000005,-247,-237,71.53,49.05
10,Neocalamites    carcinoides,89.178,43.901,-247,-237,84.82,47.34
11,Neocalamites    carcinoides,110.986,37.95,-247,-201,95.39,45.09
12,Neocalamites    carcinoides,109.056,35.209,-247,-237,86.82,39.09
13,Neocalamites   carrerei,89.178,43.901,-247,-237,84.82,47.34
14,Neocalamites   carrerei,111.12100000000001,38.461,-247,-201,95.69,45.57
15,Neocalamites   carrerei,108.923,35.331,-247,-237,86.7,39.23
16,Danaeopsis   cf.  marantacea,110.505,38.848,-247,-237,88.94,42.55
17,Danaeopsis   cf.  marantacea,110.99799999999999,37.957,-247,-201,89.3,41.62
18,Equisetites   cf. arenaceus,106.93799999999999,34.806,-247,-237,84.54,38.9
19,Neocalamites   cf. carrerei,83.139,42.101000000000006,-247,-237,73.19,42.0
20,Equisetites   cf. gracilis,110.164,29.475,-247,-237,96.14,21.59
21,Lobatannularia   cf. heianensis,123.68700000000001,41.282,-247,-237,103.08,43.53
22,Neocalamites   cf. hoerensis,89.178,43.901,-247,-237,84.82,47.34
23,Equisetites   cf. mougeoti ,110.986,37.951,-247,-201,95.39,45.09
24,Cladophlebis   cf. paralobifolia,84.863,45.549,-247,-201,62.14,48.5
25,Cladophlebis   cf. paralobifolia,82.962,41.717,-247,-237,72.82,41.7
26,Cladophlebis   cf. roessertii,109.01899999999999,35.246,-247,-237,86.79,39.13
27,Cladophlebis   cf. roessertii,111.01700000000001,40.048,-247,-237,89.7,43.69
28,Equisetites   cf. sarrani,111.12100000000001,38.461,-247,-201,95.69,45.57
29,Symopteris   cf.densinervis,123.69200000000001,41.284,-247,-237,103.09,43.54
30,Cf. Todites    cf.shensiensis,123.69200000000001,41.284,-247,-237,103.09,43.54
31,Sphenopteris   digitata,123.69200000000001,41.284,-247,-237,103.09,43.54
32,Anomopteris?   ermayingensis,112.557,36.698,-247,-237,90.71,40.21
33,Isoetes   ermayingensis,110.661,37.478,-247,-237,88.87,41.18
34,Isoetes   ermayingensis,113.031,36.316,-247,-237,91.14,39.78
35,Danaeopsis   fecunda,88.896,44.016999999999996,-247,-201,84.73,47.57
36,Danaeopsis   fecunda,110.992,37.951,-247,-201,89.3,41.62
37,Danaeopsis   fecunda,111.12700000000001,38.461999999999996,-247,-201,89.53,42.11
38,Danaeopsis   fecunda,111.67399999999999,36.253,-247,-201,89.72,39.86
39,Equisetum   furongense ,110.294,29.511,-247,-237,96.22,21.68
40,Annalepis   furongqiqoensis,110.294,29.511,-247,-237,96.22,21.68
41,Cladophlebis   gracilis,82.962,41.717,-247,-237,72.82,41.7
42,Cladophlebis   gracilis,110.681,36.097,-247,-201,88.66,39.81
43,Cf. Symopteris   helvetica,123.69200000000001,41.284,-247,-237,103.09,43.54
44,Pleuromeia   hunanensis,110.164,29.475,-247,-237,96.14,21.59
45,Cladophlebis   ichunensis,123.69200000000001,41.284,-247,-237,103.09,43.54
46,Cladophlebis   ichunensis,111.12700000000001,38.461999999999996,-247,-201,89.53,42.11
47,Pleuromeia   labiata,109.01700000000001,35.229,-247,-237,86.78,39.11
48,Annalepis   latiloba,110.164,29.475,-247,-237,96.14,21.59
49,Sphenopteris   lobophylla,123.69200000000001,41.284,-247,-237,103.09,43.54
50,Danaeopsis   magnifolia,109.008,35.245,-247,-237,86.77,39.13
51,Danaeopsis   magnifolia,110.501,38.025999999999996,-247,-237,88.79,41.74
52,Chiropteris   manasiensis,85.66799999999999,43.925,-247,-201,82.21,49.18
53,Pleuromeia   marginulata,108.759,31.469,-247,-237,93.87,22.59
54,Pleuromeia   marginulata,109.51700000000001,30.284000000000002,-247,-237,95.16,21.96
55,Pleuromeia   marginulata,110.756,30.967,-247,-237,95.71,23.12
56,Pleuromeia   marginulata,113.87799999999999,29.711,-247,-237,98.91,23.57
57,Neocalamites   merianii ,123.68700000000001,41.282,-247,-237,103.08,43.53
58,Neocalamites   merianii ,108.721,29.964000000000002,-247,-237,94.72,21.32
59,Danaeopsis   minuta,110.68799999999999,36.104,-247,-201,88.67,39.81
60,Schizoneura   ornata,123.68700000000001,41.282,-247,-237,103.08,43.53
61,Todites   paralobifolius,111.12700000000001,38.461999999999996,-247,-201,89.53,42.11
