label,start,end
Pleuromeia   altinis,251 BC,247 BC
Phyllotheca   bella,251 BC,247 BC
Phyllotheca   bicruris,251 BC,247 BC
Neocalamites   carrerei,251 BC,247 BC
Neocalamites   cf. merianii,251 BC,247 BC
Cladophlevis   cf. raciborskii,251 BC,247 BC
Anomopteris   cf.mougeotii,251 BC,247 BC
Annalepis   chudeensis,251 BC,247 BC
Sphenopteris   delabens,251 BC,247 BC
Pleuromeia   epicharis,251 BC,247 BC
Pleuromeia   epicharis,251 BC,247 BC
Pleuromeia   epicharis,251 BC,247 BC
Schizoneura   gondwanensis,251 BC,247 BC
Macrostachya   gracilis,251 BC,247 BC
Pleuromeia   jiaochengensis,251 BC,247 BC
Phyllotheca   marginans,251 BC,247 BC
Schizoneura   megaphylla,251 BC,247 BC
Anomopteris   minima,251 BC,247 BC
Cf. Anomopteris   mougeotii,251 BC,247 BC
Equisetum   mougeotii,251 BC,247 BC
Schizoneura-Echinostachys   paradoxa,251 BC,247 BC
Pleuromeia   pateriformis,251 BC,247 BC
Equisetites   qionghaiensis,251 BC,247 BC
Pleuromeia   rossica,251 BC,247 BC
Isoetites   sagittatus,251 BC,247 BC
Equisetum   sarrani,251 BC,247 BC
Calamites   shanxiensis,251 BC,237 BC
Calamites   shanxiensis,251 BC,247 BC
Neoannularia   shanxiensis,251 BC,247 BC
Neoannularia   shanxiensis,251 BC,247 BC
Neocalamites   shanxiensis,251 BC,237 BC
Neocalamites   shanxiensis,251 BC,247 BC
Todites   shensiensis,251 BC,247 BC
Todites   shensiensis,251 BC,247 BC
Annularia   shirakii,251 BC,247 BC
Jaenschea   sinensis,251 BC,201 BC
Pleuromeia   sternbergi,251 BC,247 BC
Pleuromeia   sternbergi,251 BC,247 BC
Pleuromeia   sternbergi,251 BC,247 BC
Pleuromeia   sternbergi,251 BC,247 BC
Cf. Asterotheca   szeiana,251 BC,247 BC
Metalepidodendron   xiabanchengensis,251 BC,247 BC
Metalepidodendron   xiabanchengensis,251 BC,247 BC
Pecopteris   yangshugouensis,251 BC,247 BC
Sphenopteris   yusheensis,251 BC,247 BC
Phyllotheca   yusheensis,251 BC,247 BC
Phyllotheca   yusheensis,251 BC,247 BC
Annalepis   zeilleri,251 BC,247 BC
Yuccites   anastomosis,251 BC,247 BC
Gomphostrobus   bifidus,298 BC,201 BC
Crematopteris   brevipinnata,251 BC,247 BC
Peltaspermum   calycinum,251 BC,247 BC
Peltaspermum   calycinum,251 BC,247 BC
Qionghaia   carnosa,251 BC,247 BC
Willsiostrobus   cf.  Cordiformis,251 BC,247 BC
Willsiostrobus   cf.  Denticulatus,251 BC,247 BC
Voltzia   cf.  Heterophylla,251 BC,247 BC
Voltzia   cf.  Heterophylla,251 BC,247 BC
Voltzia   cf.  Koeneni,251 BC,247 BC
Albertia   cf.  Speciosa,251 BC,247 BC
Scytophyllum   cf. bergeri,251 BC,247 BC
Tongchuanophyllum   cf. concinnum,251 BC,247 BC
Uralophyllum?   cf. radczenkoi,251 BC,247 BC
Tongchuanophyllum   cf. shensiense,251 BC,247 BC
Crematopteris   cf. typica,251 BC,247 BC
Crematopteris   cf. typica,251 BC,247 BC
Cycadocarpidium   cf.pilosum,251 BC,247 BC
Crematopteris   ciricinalis,251 BC,247 BC
Glossotheca   cochlearis,251 BC,247 BC
Taeniopteris   costiformis,251 BC,247 BC
Glossotheca   cuneiformis,251 BC,247 BC
Neuropteridium   curvinerve,251 BC,247 BC
Cf. Ctenozamites   cycadea,251 BC,247 BC
Estherella   delicatula,251 BC,247 BC
Gigantopteris   dentata,251 BC,247 BC
Albertia   elliptica,251 BC,247 BC
Yuccites   ensiformis,251 BC,247 BC
Taeniopteris   hainanensis,251 BC,247 BC
Voltzia   heterophylla,251 BC,247 BC
Ruehleostachys?   hongyantouensis,251 BC,247 BC
Williamsoniella   jianshangouensis,251 BC,247 BC
Mediocycas   kazuoensis,251 BC,247 BC
Aipteridium   kuqaense,251 BC,247 BC
Albertia   latifolia,251 BC,247 BC
Willsiostrobus   ligulatus,251 BC,247 BC
Peltaspermum   lobulatum,251 BC,247 BC
Cf. Glyptolepis   longbracteata,251 BC,247 BC
Tongchuanophyllum   magnifolius,251 BC,247 BC
Ginkgoites   magnifolius,251 BC,201 BC
Neuropteridium   margninatum,251 BC,247 BC
Tongchuanophyllum   minimum,251 BC,247 BC
Zamiopteris   minor,251 BC,247 BC
Ammatopsis   mira,251 BC,247 BC
Taeniopteris   mironervis,251 BC,247 BC
Thinnfeldia   monopinnata,251 BC,247 BC
Tricranolepis   obtusiloba,251 BC,247 BC
Leuthardtia   ovalis,251 BC,247 BC
Squamocarpus   papilioformis,251 BC,247 BC
Hallea   pekinensis,298 BC,201 BC
Glossotheca   petiolata,251 BC,247 BC
Masculostrobus?   prolatus,251 BC,247 BC
Gangamopteris   qinshuiensis,251 BC,247 BC
Voltzia   quinquepetala,251 BC,247 BC
Drepanozamites   schizophylla,251 BC,247 BC
Glossopteris   shanxiensis,251 BC,247 BC
Palaeovittaria   shanxiensis,251 BC,247 BC
Nilssonia   simplex,251 BC,201 BC
Sphenobaiera   spectabilis,251 BC,247 BC
Aethophyllum   stipulare,251 BC,247 BC
Ginkgoites   tetralobus,251 BC,247 BC
Gangamopteris?   tuncunensis,251 BC,247 BC
Crematopteris   typica,251 BC,247 BC
Yuccites   vogesiacus,251 BC,247 BC
Voltzia   weismanni,251 BC,247 BC
Carpolithus   yamasidai,259 BC,251 BC
Cardiocarpus   yuccinoides,251 BC,247 BC
Cardiocarpus   yuccinoides,251 BC,247 BC
Compsopteris   zhonghuaensis,251 BC,247 BC
