,Phylum,Class,Order,Family,Genus,Species,modern_longitude,modern_latitude,start_year,end_year,ancient_longitude,ancient_latitude,era
0,Angiospermae,Dicotyledoneae,incertae sedis,Araliaceae,Aralia,Aralia firma,87.236,29.294,-100,-66,78.76,12.29,7
1,Angiospermae,Dicotyledoneae,incertae sedis,Aspleniaceae,Asplenium,Asplenium dicksonianum,129.417,49.115,-100,-66,118.1,54.36,7
2,Angiospermae,Dicotyledoneae,incertae sedis,Betulaceae,Alnites,Alnites jelisejevii,130.403,48.889,-100,-66,119.28,54.32,7
3,Angiospermae,Dicotyledoneae,incertae sedis,Betulaceae,Alnus,Alnus protobarbata,130.403,48.889,-100,-66,119.28,54.32,7
4,Angiospermae,Dicotyledoneae,incertae sedis,Betulaceae,Betula,Betula prisca,130.403,48.889,-100,-66,119.28,54.32,7
5,Angiospermae,Dicotyledoneae,incertae sedis,Betulaceae,Betula,Betula sachalinensis,130.403,48.889,-100,-66,119.28,54.32,7
6,Angiospermae,Dicotyledoneae,incertae sedis,Betulaceae,Betuliphyllum,Betuliphyllum hunchunensis,130.365,42.862,-100,-66,121.21,47.77,7
7,Angiospermae,Dicotyledoneae,incertae sedis,Caprifoliaceae,Viburniphyllum,Viburniphyllum finale,130.403,48.889,-100,-66,119.28,54.32,7
8,Angiospermae,Dicotyledoneae,incertae sedis,Caprifoliaceae,Viburnum,Viburnum antiquum,130.403,48.889,-100,-66,119.28,54.32,7
9,Angiospermae,Dicotyledoneae,incertae sedis,Caprifoliaceae,Viburnum,Viburnum asperum,89.814,29.317,-100,-66,81.06,12.46,7
10,Angiospermae,Dicotyledoneae,incertae sedis,Caprifoliaceae,Viburnum,Viburnum asperum,130.403,48.889,-100,-66,119.28,54.32,7
11,Angiospermae,Dicotyledoneae,incertae sedis,Caprifoliaceae,Viburnum,Viburnum cf.contortum,130.403,48.889,-100,-66,119.28,54.32,7
12,Angiospermae,Dicotyledoneae,incertae sedis,Caprifoliaceae,Viburnum,Viburnum lakesii,129.897,46.728,-100,-66,119.67,52.15,7
13,Angiospermae,Dicotyledoneae,incertae sedis,Celastraceae,Celastrophyllum,Celastrophyllum newberryanum,130.365,42.862,-100,-66,121.21,47.77,7
14,Angiospermae,Dicotyledoneae,incertae sedis,Celastraceae,Celastrophyllum,Celastrophyllum ovale,112.577,40.894,-100,-66,103.53,42.79,7
15,Angiospermae,Dicotyledoneae,incertae sedis,Celastraceae,Celastrus,Celastrus minor,87.656,29.379,-100,-66,79.13,12.39,7
16,Angiospermae,Dicotyledoneae,incertae sedis,Ceratophyllaceae,Ceratophyllum,Ceratophyllum jilinense,130.365,42.862,-100,-66,121.21,47.77,7
17,Angiospermae,Dicotyledoneae,incertae sedis,Cercidiphyllaceae,Cercidiphyllum,Cercidiphyllum arcticum,127.96,45.211,-100,-66,118.2,50.34,7
18,Angiospermae,Dicotyledoneae,incertae sedis,Cercidiphyllaceae,Cercidiphyllum,Cercidiphyllum elliptcum,89.053,29.294,-100,-66,80.38,12.39,7
19,Angiospermae,Dicotyledoneae,incertae sedis,Cheirolepidiaceae,Suturovagina,Suturovagina intermedia,119.61,29.074,-100,-66,114.2,33.8,7
20,Angiospermae,Dicotyledoneae,incertae sedis,Cheirolepidiaceae,Suturovagina,Suturovagina intermedia,118.244,28.681,-100,-66,113.18,32.88,7
21,Angiospermae,Dicotyledoneae,incertae sedis,Corylaceae,Corylites,Corylites fosteri,130.403,48.889,-100,-66,119.28,54.32,7
22,Angiospermae,Dicotyledoneae,incertae sedis,Corylaceae,Corylites,Corylites hunchunensis,130.365,42.862,-100,-66,121.21,47.77,7
23,Angiospermae,Dicotyledoneae,incertae sedis,Corylaceae,Corylus,Corylus kenaiana,127.96,45.211,-100,-66,118.2,50.34,7
24,Angiospermae,Dicotyledoneae,incertae sedis,Corylaceae,Credneria,Credneria inordinata,130.403,48.889,-100,-66,119.28,54.32,7
25,Angiospermae,Dicotyledoneae,incertae sedis,Cupressaceae,Cupressinoxylon,Cupressinoxylon jiayinense,130.394,48.887,-100,-66,119.27,54.32,7
26,Angiospermae,Dicotyledoneae,incertae sedis,Dicksoniaceae,Coniopteris,Coniopteris arctica,120.563,45.551,-145,-100,122.43,47.47,6
27,Angiospermae,Dicotyledoneae,incertae sedis,Dicksoniaceae,Coniopteris,Coniopteris arctica,121.676,42.001,-145,-100,123.56,43.43,6
28,Angiospermae,Dicotyledoneae,incertae sedis,Dicksoniaceae,Coniopteris,Coniopteris arctica,121.679,42.034,-145,-100,123.56,43.46,6
29,Angiospermae,Dicotyledoneae,incertae sedis,Dicksoniaceae,Coniopteris,Coniopteris arctica,123.552,42.447,-145,-100,125.43,43.98,6
30,Angiospermae,Dicotyledoneae,incertae sedis,Dicksoniaceae,Coniopteris,Coniopteris arctica,126.046,44.461,-145,-100,128.25,46.75,6
31,Angiospermae,Dicotyledoneae,incertae sedis,Dicksoniaceae,Coniopteris,Coniopteris arctica,130.799,45.861,-145,-100,133.01,48.44,6
32,Angiospermae,Dicotyledoneae,incertae sedis,Dicksoniaceae,Coniopteris,Coniopteris arctica,131.132,45.346,-145,-100,133.43,47.95,6
33,Angiospermae,Dicotyledoneae,incertae sedis,Dicksoniaceae,Coniopteris,Coniopteris arctica,134.047,47.426,-145,-100,136.21,50.2,6
34,Angiospermae,Dicotyledoneae,incertae sedis,Dicksoniaceae,Coniopteris,Coniopteris hunangjiabaoensis,114.7,40.888,-145,-100,116.59,41.9,6
35,Angiospermae,Dicotyledoneae,incertae sedis,Dicksoniaceae,Dicksonia,Dicksonia arctica,117.669,49.51,-145,-100,118.82,51.21,6
36,Angiospermae,Dicotyledoneae,incertae sedis,Dicksoniaceae,Dicksonia,Dicksonia arctica,119.76,49.223,-145,-100,121.03,51.07,6
37,Angiospermae,Dicotyledoneae,incertae sedis,Dicksoniaceae,Dicksonia,Dicksonia arctica,120.579,49.242,-145,-100,121.87,51.14,6
38,Angiospermae,Dicotyledoneae,incertae sedis,Dicksoniaceae,Dicksonia,Dicksonia arctica,120.585,49.248,-145,-100,121.87,51.15,6
39,Angiospermae,Dicotyledoneae,incertae sedis,Dicksoniaceae,Dicksonia,Dicksonia arctica,123.471,48.124,-145,-100,125.05,50.23,6
40,Angiospermae,Dicotyledoneae,incertae sedis,Dicksoniaceae,Dicksonia,Dicksonia arctica,123.552,42.447,-145,-100,125.43,43.98,6
41,Angiospermae,Dicotyledoneae,incertae sedis,Ebenaceae,Diospyros,Diospyros rotundifolia,124.444,46.862,-100,-66,113.8,51.3,7
42,Angiospermae,Dicotyledoneae,incertae sedis,Fagaceae,Quercus,Quercus orbicularis,87.656,29.379,-100,-66,79.13,12.39,7
43,Angiospermae,Dicotyledoneae,incertae sedis,Filiaceae?,Nordenskioldia,Nordenskioldia cf.borealis,130.403,48.889,-100,-66,119.28,54.32,7
44,Angiospermae,Dicotyledoneae,incertae sedis,Gleicheniaceae,Gleichenites,Gleichenites gracilis,130.41,48.894,-100,-66,119.28,54.33,7
45,Angiospermae,Dicotyledoneae,incertae sedis,Hamamelidaceae,Corylopsiphyllum,Corylopsiphyllum jilinense,130.365,42.862,-100,-66,121.21,47.77,7
46,Angiospermae,Dicotyledoneae,incertae sedis,Hydrocaryaceae,Trapa,Trapa angulata,125.899,47.171,-145,-100,127.72,49.44,6
47,Angiospermae,Dicotyledoneae,incertae sedis,Hydrocaryaceae,Trapa,Trapa angulata,126.969,46.652,-100,-66,116.56,51.56,7
48,Angiospermae,Dicotyledoneae,incertae sedis,Hydrocaryaceae,Trapa,Trapa angulata,130.403,48.889,-100,-66,119.28,54.32,7
49,Angiospermae,Dicotyledoneae,incertae sedis,Hydrocaryaceae,Trapa,Trapa microphylla,126.576,45.832,-100,-66,116.48,50.69,7
50,Angiospermae,Dicotyledoneae,incertae sedis,Juglandaceae,Cycrocarya,Cycrocarya macroptera,130.403,48.889,-100,-66,119.28,54.32,7
51,Angiospermae,Dicotyledoneae,incertae sedis,Juglandaceae,Juglandites,Juglandites polophyllus,130.365,42.862,-100,-66,121.21,47.77,7
52,Angiospermae,Dicotyledoneae,incertae sedis,Juglandaceae,Juglandites,Juglandites sinuatus,89.814,29.317,-100,-66,81.06,12.46,7
53,Angiospermae,Dicotyledoneae,incertae sedis,Juglandaceae,Pterocarya,Pterocarya siniptera,120.351,45.966,-174,-163,126.14,49.68,4
54,Angiospermae,Dicotyledoneae,incertae sedis,Lauraceae,Cinnamomum,Cinnamomum hesperium,108.629,22.609,-100,-66,107.74,23.45,7
55,Angiospermae,Dicotyledoneae,incertae sedis,Lauraceae,Cinnamomum,Cinnamomum newberryi,108.629,22.609,-100,-66,107.74,23.45,7
56,Angiospermae,Dicotyledoneae,incertae sedis,Lauraceae,Nectandra,Nectandra guangxiensis,108.629,22.609,-100,-66,107.74,23.45,7
57,Angiospermae,Dicotyledoneae,incertae sedis,Lauraceae,Nectandra,Nectandra prolifica,108.629,22.609,-100,-66,107.74,23.45,7
58,Angiospermae,Dicotyledoneae,incertae sedis,Leguminosae,Cassia,Cassia cf.fayettensis,88.357,29.355,-100,-66,79.76,12.41,7
59,Angiospermae,Dicotyledoneae,incertae sedis,Leguminosae,Cassia,Cassia marshalensis,80.761,31.177,-100,-66,60.53,-28.75,7
60,Angiospermae,Dicotyledoneae,incertae sedis,Magnoliaceae,Schisandra,Schisandra durbudensis,124.444,46.862,-100,-66,113.8,51.3,7
61,Angiospermae,Dicotyledoneae,incertae sedis,Menisspermaceae,Stephanofolium,Stephanofolium ovatiphyllum,130.365,42.862,-100,-66,121.21,47.77,7
62,Angiospermae,Dicotyledoneae,incertae sedis,Moraceae,Ficus,Ficus daphnogenoides,89.814,29.317,-100,-66,81.06,12.46,7
63,Angiospermae,Dicotyledoneae,incertae sedis,Moraceae,Ficus,Ficus myrtifolius,80.761,31.177,-100,-66,60.53,-28.75,7
64,Angiospermae,Dicotyledoneae,incertae sedis,Moraceae,Ficus,Ficus platanicostata,127.96,45.211,-100,-66,118.2,50.34,7
65,Angiospermae,Dicotyledoneae,incertae sedis,Myrtaceae,Eucalyptus,Eucalyptus angusta,88.357,29.355,-100,-66,79.76,12.41,7
66,Angiospermae,Dicotyledoneae,incertae sedis,Myrtaceae,Eucalyptus,Eucalyptus geinitzii,80.761,31.177,-100,-66,60.53,-28.75,7
67,Angiospermae,Dicotyledoneae,incertae sedis,Myrtaceae,Eucalyptus,Eucalyptus geinitzii,88.357,29.355,-100,-66,79.76,12.41,7
68,Angiospermae,Dicotyledoneae,incertae sedis,Myrtaceae,Eucalyptus,Eucalyptus oblongifolia,80.761,31.177,-100,-66,60.53,-28.75,7
69,Angiospermae,Dicotyledoneae,incertae sedis,Myrtaceae,Myrtophyllum,Myrtophyllum penzhinense,130.365,42.862,-100,-66,121.21,47.77,7
70,Angiospermae,Dicotyledoneae,incertae sedis,Nymphaceae,Rhizoma,Rhizoma elliptica,120.836,41.615,-163,-145,124.04,42.86,5
71,Angiospermae,Dicotyledoneae,incertae sedis,Nymphaeaceae,Nymphaeites,Nymphaeites browni,130.403,48.889,-100,-66,119.28,54.32,7
72,Angiospermae,Dicotyledoneae,incertae sedis,Osmundaceae,Osmunda,Osmunda cf.diamensis,130.41,48.894,-100,-66,119.28,54.33,7
73,Angiospermae,Dicotyledoneae,incertae sedis,Oxalidaceae,Oxalis,Oxalis jiayinensis,130.497,48.853,-100,-66,119.4,54.3,7
74,Angiospermae,Dicotyledoneae,incertae sedis,Pinaceae,Thuja,Thuja cretacea,130.394,48.887,-100,-66,119.27,54.32,7
75,Angiospermae,Dicotyledoneae,incertae sedis,Pinaceae,Thuja,Thuja heilongjiangensis,125.363,46.242,-100,-66,115.03,50.87,7
76,Angiospermae,Dicotyledoneae,incertae sedis,Platanaceae,Platanus,Platanus appendiculata,125.336,46.415,-145,-100,127.24,48.65,6
77,Angiospermae,Dicotyledoneae,incertae sedis,Platanaceae,Platanus,Platanus cf.cuneifolia,112.702,40.013,-100,-66,103.93,41.95,7
78,Angiospermae,Dicotyledoneae,incertae sedis,Platanaceae,Platanus,Platanus cuneifolia,113.667,43.859,-100,-66,103.62,45.86,7
79,Angiospermae,Dicotyledoneae,incertae sedis,Platanaceae,Platanus,Platanus densinervis,130.403,48.889,-100,-66,119.28,54.32,7
80,Angiospermae,Dicotyledoneae,incertae sedis,Platanaceae,Platanus,Platanus raynoldii,130.403,48.889,-100,-66,119.28,54.32,7
81,Angiospermae,Dicotyledoneae,incertae sedis,Platanaceae,Platanus,Platanus raynoldii,127.96,45.211,-100,-66,118.2,50.34,7
82,Angiospermae,Dicotyledoneae,incertae sedis,Platanaceae,Platanus,Platanus raynoldii,129.897,46.728,-100,-66,119.67,52.15,7
83,Angiospermae,Dicotyledoneae,incertae sedis,Platanaceae,Platanus,Platanus septentrioalis,124.466,45.079,-100,-66,114.55,49.59,7
84,Angiospermae,Dicotyledoneae,incertae sedis,Platanaceae,Platanus,Platanus sinensis,130.403,48.889,-100,-66,119.28,54.32,7
85,Angiospermae,Dicotyledoneae,incertae sedis,Platanaceae,Pseudoprotophyllum,Pseudoprotophyllum cf.dentatum,130.403,48.889,-100,-66,119.28,54.32,7
86,Angiospermae,Dicotyledoneae,incertae sedis,Podocarpaceae,Nageiopsis,Nageiopsis angustifolia,109.826,40.915,-145,-100,111.67,41.62,6
87,Angiospermae,Dicotyledoneae,incertae sedis,Potamogetonaceae,Potamogeton,Potamogeton jeholensis,117.172,40.432,-100,-66,108.31,43.15,7
88,Angiospermae,Dicotyledoneae,incertae sedis,Protiaceae,Macclintockia,Macclintockia cf.trinervis,130.315,48.863,-100,-66,119.19,54.28,7
89,Angiospermae,Dicotyledoneae,incertae sedis,Protiaceae,Rogersia,Rogersia angustifolia,129.509,42.891,-145,-100,131.49,44.76,6
90,Angiospermae,Dicotyledoneae,incertae sedis,Ranunculaceae,Ranunculus,Ranunculus jeholensis,119.357,40.961,-163,-145,122.52,42.22,5
91,Angiospermae,Dicotyledoneae,incertae sedis,Rhamnaceae,Paliurus,Paliurus jurassinicus,120.351,45.966,-174,-163,126.14,49.68,4
92,Angiospermae,Dicotyledoneae,incertae sedis,Rhamnaceae,Rhamnites,Rhamnites eminens,89.814,29.317,-100,-66,81.06,12.46,7
93,Angiospermae,Dicotyledoneae,incertae sedis,Rhamnaceae,Rhamnus,Rhamnus menchigesis,80.761,31.177,-100,-66,60.53,-28.75,7
94,Angiospermae,Dicotyledoneae,incertae sedis,Rhamnaceae,Rhamnus,Rhamnus shangzhiensis,127.96,45.211,-100,-66,118.2,50.34,7
95,Angiospermae,Dicotyledoneae,incertae sedis,Rhamnaceae,Zizyphus,Zizyphus liaoxijujuba,120.351,45.966,-174,-163,126.14,49.68,4
96,Angiospermae,Dicotyledoneae,incertae sedis,Rhamnaceae,Zizyphus,Zizyphus pseudocretacea,130.403,48.889,-100,-66,119.28,54.32,7
97,Angiospermae,Dicotyledoneae,incertae sedis,Salicaceae,Populites,Populites litigiosus,130.365,42.862,-100,-66,121.21,47.77,7
98,Angiospermae,Dicotyledoneae,incertae sedis,Salicaceae,Populus,Populus carneosa,130.403,48.889,-100,-66,119.28,54.32,7
99,Angiospermae,Dicotyledoneae,incertae sedis,Salicaceae,Populus,Populus latior,89.053,29.294,-100,-66,80.38,12.39,7
100,Angiospermae,Dicotyledoneae,incertae sedis,Salicaceae,Salix,Salix cf.meeki,89.814,29.317,-100,-66,81.06,12.46,7
101,Angiospermae,Dicotyledoneae,incertae sedis,Salviniaceae,Salvinia,Salvinia jilinensis,130.372,42.868,-100,-66,121.22,47.78,7
102,Angiospermae,Dicotyledoneae,incertae sedis,Scrophulariaceae,Paulownia,Paulownia shangzhiensis,127.96,45.211,-100,-66,118.2,50.34,7
103,Angiospermae,Dicotyledoneae,incertae sedis,Sinodicotiaceae,Cycadicotis,Cycadicotis nissonervis,120.619,41.101,-174,-163,125.63,44.28,4
104,Angiospermae,Dicotyledoneae,incertae sedis,Sparganiaceae,Sparganium,Sparganium fengningense,117.753,41.936,-100,-66,108.41,44.72,7
105,Angiospermae,Dicotyledoneae,incertae sedis,Taxaceae,Taxus,Taxus acuta,109.745,39.568,-145,-100,111.73,40.28,6
106,Angiospermae,Dicotyledoneae,incertae sedis,Taxodiaceae,Cephalotaxopsis,Cephalotaxopsis asiatica,111.758,40.815,-145,-100,113.63,41.64,6
107,Angiospermae,Dicotyledoneae,incertae sedis,Taxodiaceae,Cephalotaxopsis,Cephalotaxopsis asiatica,126.04,44.459,-145,-100,128.24,46.75,6
108,Angiospermae,Dicotyledoneae,incertae sedis,Taxodiaceae,Cephalotaxopsis,Cephalotaxopsis asiatica,130.961,45.293,-145,-100,133.26,47.89,6
